frame_id,timestamp,tracking_cost,valid_projected_points,residual_mean,residual_median,residual_p95,inlier_ratio,relative_translation_m,relative_rotation_deg,tracking_failure,fallback_used,fallback_reason,keyframe_inserted,active_window_keyframes,active_inverse_depth_points
0,0.0,,0,,,,,,,False,False,,True,1,600
1,0.1037359,120040.95877230527,680,16.75917328989111,7.178638370877238,64.60546849898311,0.7985294117647059,0.6750647831319204,0.27527201129591106,False,False,,False,1,600
2,0.2073381,145586.24200098924,659,21.400616966820547,10.647801176152754,81.85143225434526,0.7511380880121397,1.3712458870518653,0.49003055501036485,False,False,,False,1,600
3,0.3110752,197022.27830415528,581,28.301193464280175,16.40562655734719,102.75526402046815,0.6419965576592083,2.090078745163741,0.7363761606099013,False,False,,False,1,600
4,0.4146917,223025.4347547377,522,30.85883142417536,19.18892314218879,103.15493380290091,0.5862068965517241,2.8208114748974884,1.0247768899909875,False,False,,True,2,1200
5,0.5184302,113562.93500465945,720,20.18298834238815,9.802641988236886,87.02133098966173,0.7930555555555555,0.7417176481961676,0.2656302923220355,False,False,,False,2,1200
6,0.6220448,177371.4159445003,610,24.54044342233923,14.690291682581176,82.21235809196537,0.6868852459016394,1.4987420592527276,0.5284308376811531,False,False,,False,2,1200
7,0.7257977,207599.13466000216,547,27.689964420179837,16.76235382472204,90.69556502732955,0.6343692870201096,2.2863887027762364,0.8584635456452883,False,False,,True,3,1800
8,0.8294199,111900.79497061372,726,18.849995048067928,9.789803516547835,71.629730378618,0.7878787878787878,0.7989466565756684,0.2787281398126875,False,False,,False,3,1800
9,0.9331467,239685.49971059329,603,43.16976616268555,30.143898849449386,120.53421141780153,0.41625207296849087,1.61112505277776,0.8164586312300252,False,False,,True,4,2400
10,1.03691,124638.97440787122,683,18.2270802467593,9.203954609493024,68.92443648276256,0.7847730600292826,0.8174812692600844,0.2726722599260165,False,False,,False,4,2400
11,1.140497,173484.52594238706,625,27.192092560505245,13.25775372990097,113.36035744594147,0.6752,1.635412265646039,0.4059333856353426,False,False,,False,4,2400
12,1.244242,232320.476111634,526,35.79392810646238,23.213599002846465,117.65904632083593,0.5380228136882129,2.483905375949439,0.7878400408521727,False,False,,True,5,3000
13,1.347979,115563.70050259907,698,17.638606795830682,8.152144804578114,72.43833869251186,0.8237822349570201,0.8400910305942177,0.22502637617879231,False,False,,False,5,3000
14,1.451596,181241.19215674073,600,25.69599754425877,12.729889745762641,88.91478709821703,0.66,1.6882560445034451,0.33536029449112564,False,False,,False,5,3000
15,1.555212,222262.90219378044,469,27.50675205799045,13.956903614028917,91.17141638951074,0.6609808102345416,2.5484405724132957,0.4021344558865131,False,False,,True,5,3000
16,1.65896,88086.30325487425,695,11.35395794866015,6.202959588939493,44.651121002658336,0.8877697841726618,0.8659660192181684,0.23588225826622186,False,False,,False,5,3000
17,1.762569,157873.44172169158,594,18.765177824806614,9.743036305791229,68.47786454555678,0.7508417508417509,1.7418694886540396,0.4037014182507015,False,False,,False,5,3000
18,1.866302,185149.79950373044,563,23.149587836958485,14.7746537150243,81.23642237971464,0.6856127886323268,2.6214538560471103,0.6697285493781042,False,False,,True,5,3000
19,1.969923,90562.98135195681,738,14.707343368745805,7.049858369182729,55.066422597472446,0.8306233062330624,0.8957634717136644,0.0945802282822997,False,False,,False,5,3000
